68,1,11095125
68,0,109
68,1,484
83,1,125
87,1,0
68,0,0
87,0,63
83,0,47
83,1,1062
68,1,16
83,0,125
68,0,15
68,1,141
83,1,16
68,0,47
83,0,93
68,1,32
65,1,125
68,0,31
65,0,78
a,0,2312
b,0,63
a,0,875
b,0,94
c,0,78
d,0,62
a,0,922
b,0,78
a,0,532
b,0,78
a,0,656
b,0,94
164,0,234
9,0,31
164,0,891
9,0,31
68,1,422
68,0,94
68,1,203
87,1,0
87,0,141
68,0,15
68,1,141
87,1,31
68,0,109
87,0,32
a,0,937
b,0,94
162,1,422
67,0,609
67,1,0
67,0,0
79,1,17784093
85,1,16
73,1,16
72,1,62
73,0,63
79,0,0
85,0,62
72,0,16
a,0,1547
b,0,78
